codigo_onibus,codigo_linha,nome_linha,letreiro,distancia_percorrida,hora_requisicao,x,y,hora_gps,ponto_final,hora_final,segundos_deslocamento,geometry,modelo,tem_ar,tecnologia,sem_ar_l_km,sem_ar_kg_km,com_ar_l_km,com_ar_kg_km,emissao_co2
3106,249,233A-10,TERM. VL. CARRÃO - JD. HELENA,0.0,05:26:00,-46.4743245,-23.5356225,2025-10-20 05:26:10-03:00,,,0.0,POINT (349500.30761177104 7396411.640630013),Midiônibus,True,Midiônibus,0.4,0.336,0.47,0.395,0.0
3117,33873,414P-10,TERM. NORTE METRÔ CARRÃO - VL. INDUSTRIAL,2341281.3062828905,06:15:00,-46.5305705,-23.60171075,2025-10-17 23:01:09-03:00,POINT (343744.9308854367 7388448.638336283),2025-10-17 23:01:09-03:00,208321.0,POINT (343835.9594275851 7389033.226661574),Miniônibus,False,Miniônibus,0.3,0.252,0.35,0.294,1876.06871072448
3118,132,1178-10,PÇA. DO CORREIO - SÃO MIGUEL,0.0,09:05:00,-46.433214,-23.504322,2025-10-20 09:51:20-03:00,POINT (353662.88874320243 7399920.105295753),2025-10-20 09:51:20-03:00,2748.0,POINT (353662.88874320243 7399920.105295753),Padron,True,Padron,0.55,0.462,0.63,0.529,0.0
3203,34940,4312-10,TERM. PQ. D. PEDRO II - JD. MARÍLIA,58659.767535016494,05:14:00,-46.489608,-23.5702925,2025-10-20 08:12:06-03:00,POINT (347979.81483463803 7392556.402095502),2025-10-20 08:12:06-03:00,10673.0,POINT (347979.81483463803 7392556.402095502),Midiônibus,False,Midiônibus,0.4,0.336,0.47,0.395,62.67209563441162
3211,34883,930P-10,TERM. PINHEIROS - TERM. PQ. D. PEDRO II,76506.98911700488,12:46:00,-46.7020465,-23.5661855,2025-10-17 20:43:36-03:00,POINT (333585.0436760259 7395027.456520221),2025-10-17 20:43:36-03:00,39988.0,POINT (326290.1549917804 7392769.64474747),Biarticulado,False,Biarticulado,0.8,0.672,0.9,0.756,163.48013434521604
5117,33044,3021-10,TERM. VL PRUDENTE - PQ. BANCÁRIO,3080.09001587179,09:25:00,-46.5170055,-23.5989185,2025-10-20 09:41:55-03:00,POINT (343288.70686308865 7389666.9600657765),2025-10-20 09:41:55-03:00,1015.0,POINT (345216.9397290505 7389357.1689153),Padron,True,Padron,0.55,0.462,0.63,0.529,5.182959872407937
7301,32953,637A-10,TERM. PINHEIROS - TERM. JD. ÂNGELA,74929.48221693747,08:23:00,-46.6897275,-23.586328,2025-10-17 10:47:36-03:00,POINT (324025.51667349203 7383169.908816865),2025-10-17 10:47:36-03:00,3601.0,POINT (327573.9943750228 7390553.933637093),Básico,False,Básico,0.46,0.386,0.53,0.445,92.06285762066238
7302,34490,7001-10,JD. ÂNGELA - VL. GILDA,8134.113392400275,05:06:00,-46.778341,-23.692809,2025-10-16 23:59:03-03:00,POINT (319276.33412947576 7379177.072369924),2025-10-16 23:59:03-03:00,67956.0,POINT (318676.41872626625 7378652.116744359),Articulado (18m),False,Articulado (18m),0.71,0.596,0.8,0.672,15.425613978481804
7315,3008,GUIN-10,GUINCHO - GUINCHO,28314.77384838748,00:00:00,-46.6514205,-23.6018905,2025-10-16 23:59:10-03:00,POINT (331503.6183940324 7388876.175594857),2025-10-16 23:59:10-03:00,-59.0,POINT (331503.6183940324 7388876.175594857),Midiônibus,True,Midiônibus,0.4,0.336,0.47,0.395,35.545517646050186
7316,34760,7004-10,EST. STO. AMARO/GUIDO CALOI - TERM. JD. JACIRA,183359.40958519958,02:15:00,-46.786348,-23.727594,2025-10-17 23:58:08-03:00,POINT (317953.44236545305 7374535.513608239),2025-10-17 23:58:08-03:00,200565.0,POINT (317908.1391826615 7374789.591748563),Articulado (18m),True,Articulado (18m),0.71,0.596,0.8,0.672,391.8023864016544
7811,32858,6027-10,TERM. STO. AMARO - JD. GRAUNA,55350.653836346995,01:14:00,-46.708033687500006,-23.6761223125,2025-10-16 23:59:35-03:00,POINT (326296.3500790545 7379777.621996372),2025-10-16 23:59:35-03:00,122470.0,POINT (325824.449881303 7380587.735928722),Biarticulado,True,Biarticulado,0.8,0.672,0.9,0.756,133.05743675719455
10001,35218,189L-10,LAPA - CONEXÃO VL. IÓRIO,479357.6353531035,04:00:00,-46.705569,-23.50943975,2025-10-19 22:11:23-03:00,POINT (325772.5260670578 7399481.872619179),2025-10-19 22:11:23-03:00,130631.0,POINT (325855.85124775115 7399049.445850661),Articulado (23m),True,Articulado (23m),0.75,0.63,0.85,0.714,1088.3096074239186
10002,35372,189L-21,LAPA - CONEXÃO VL. IÓRIO,858087.8326658985,00:00:00,-46.706825,-23.4976125,2025-10-17 22:49:33-03:00,POINT (325785.4346503958 7399702.153849674),2025-10-17 22:49:33-03:00,136261.0,POINT (325712.018553716 7400357.677793175),Básico,True,Básico,0.46,0.386,0.53,0.445,1214.7348785568258
10003,35372,189L-21,LAPA - CONEXÃO VL. IÓRIO,888253.1431606283,00:00:00,-46.7100265,-23.490378,2025-10-17 23:57:15-03:00,POINT (326062.3991506732 7398157.625035275),2025-10-17 23:57:15-03:00,70452.0,POINT (325375.5041145052 7401154.941754881),Básico,False,Básico,0.46,0.386,0.53,0.445,1091.3611068757377
10004,35218,189L-10,LAPA - CONEXÃO VL. IÓRIO,499741.3593111434,04:29:00,-46.7054375,-23.5104405,2025-10-17 23:57:49-03:00,POINT (325284.587390002 7401571.133566486),2025-10-17 23:57:49-03:00,139222.0,POINT (325870.59682931076 7398938.781732546),Articulado (23m),False,Articulado (23m),0.75,0.63,0.85,0.714,1001.106878040048
10005,35218,189L-10,LAPA - CONEXÃO VL. IÓRIO,412001.54226733116,04:51:00,-46.705694,-23.508137,2025-10-16 23:59:09-03:00,POINT (325284.587390002 7401571.133566486),2025-10-16 23:59:09-03:00,68701.0,POINT (325841.37207382906 7399193.561487278),Biarticulado,False,Biarticulado,0.8,0.672,0.9,0.756,880.3648955168331
10007,35218,189L-10,LAPA - CONEXÃO VL. IÓRIO,307915.0733588279,05:21:00,-46.705806,-23.5067695,2025-10-16 23:59:09-03:00,POINT (325307.05168443295 7401550.523426386),2025-10-16 23:59:09-03:00,62814.0,POINT (325828.135202499 7399344.863324001),Midiônibus,True,Midiônibus,0.4,0.336,0.47,0.395,386.5473456424717
10008,35218,189L-10,LAPA - CONEXÃO VL. IÓRIO,160785.110863438,05:36:00,-46.7055125,-23.509899,2025-10-17 20:17:06-03:00,POINT (325739.0854154605 7399895.731028347),2025-10-17 20:17:06-03:00,112753.0,POINT (325862.22532051546 7398998.656779239),Básico,False,Básico,0.46,0.386,0.53,0.445,197.55023431347172
10009,35218,189L-10,LAPA - CONEXÃO VL. IÓRIO,173128.85327491912,04:54:00,-46.70565825,-23.508512000000003,2025-10-17 20:39:23-03:00,POINT (325700.67744668416 7400319.22143216),2025-10-17 20:39:23-03:00,109466.0,POINT (325845.51630882453 7399152.077144932),Miniônibus,False,Miniônibus,0.3,0.252,0.35,0.294,138.72815012919267
10010,35218,189L-10,LAPA - CONEXÃO VL. IÓRIO,134326.75772686777,16:21:00,-46.7049235,-23.512548,2025-10-17 19:58:22-03:00,POINT (325763.4974681923 7399597.007146675),2025-10-17 19:58:22-03:00,65803.0,POINT (325925.85946107924 7398706.019355299),Articulado (23m),False,Articulado (23m),0.75,0.63,0.85,0.714,269.0900774163478
10011,35218,189L-10,LAPA - CONEXÃO VL. IÓRIO,8601.98253225539,20:59:00,-46.702858500000005,-23.5136295,2025-10-16 23:59:17-03:00,POINT (326147.75305241335 7398120.20541784),2025-10-16 23:59:17-03:00,620.0,POINT (326138.1608770283 7398588.7561722),Miniônibus,True,Miniônibus,0.3,0.252,0.35,0.294,8.04156337027895
10201,34026,8008-10,TERM. PIRITUBA - HAB. TURÍSTICA,630781.316896839,00:00:00,-46.7256145,-23.4858735,2025-10-17 22:12:36-03:00,POINT (321091.95596329053 7401050.289162897),2025-10-17 22:12:36-03:00,137432.0,POINT (323777.3697980356 7401634.742235884),Articulado (23m),False,Articulado (23m),0.75,0.63,0.85,0.714,1263.6126730735923
10202,34026,8008-10,TERM. PIRITUBA - HAB. TURÍSTICA,350525.8154683702,04:03:00,-46.755803,-23.489542,2025-10-17 23:48:19-03:00,POINT (320592.0916822514 7401473.764634892),2025-10-17 23:48:19-03:00,142156.0,POINT (320698.77579077904 7401191.1380740665),Padron,False,Padron,0.55,0.462,0.63,0.529,514.9399492138093
10203,34026,8008-10,TERM. PIRITUBA - HAB. TURÍSTICA,676889.0581188055,00:00:00,-46.7562095,-23.475121,2025-10-16 23:59:19-03:00,POINT (320612.6126089548 7402749.845884096),2025-10-16 23:59:19-03:00,66887.0,POINT (320637.7438410518 7402787.644675921),Padron,True,Padron,0.55,0.462,0.63,0.529,1139.0215247682574
10204,34191,948A-10,METRÔ BARRA FUNDA - VL. ZATT,746646.9928606978,00:00:00,-46.71376,-23.4697465,2025-10-16 23:59:35-03:00,POINT (320871.13690008695 7401871.418595161),2025-10-16 23:59:35-03:00,-135.0,POINT (324966.932213206 7403435.141818595),Padron,True,Padron,0.55,0.462,0.63,0.529,1256.4052942964818
10205,34026,8008-10,TERM. PIRITUBA - HAB. TURÍSTICA,573185.989713635,04:46:00,-46.75114675,-23.491037625,2025-10-16 23:59:05-03:00,POINT (323763.6651873907 7401619.016325403),2025-10-16 23:59:05-03:00,68971.0,POINT (321176.38862601324 7401031.312567179),Articulado (23m),False,Articulado (23m),0.75,0.63,0.85,0.714,1148.2348338938393
10206,34191,948A-10,METRÔ BARRA FUNDA - VL. ZATT,745293.7632436721,04:41:00,-46.7054095,-23.510705,2025-10-17 23:55:11-03:00,POINT (324423.162812733 7399713.762946881),2025-10-17 23:55:11-03:00,180745.0,POINT (325873.8041769678 7398909.524813011),Miniônibus,True,Miniônibus,0.3,0.252,0.35,0.294,696.7378745683468
10207,1423,948A-10,METRÔ BARRA FUNDA - VL. ZATT,524494.5019408246,04:56:00,-46.72716775,-23.48777325,2025-10-16 23:58:51-03:00,POINT (324983.5544033579 7403467.791413982),2025-10-16 23:58:51-03:00,68355.0,POINT (323621.24457095924 7401422.4560739435),Articulado (18m),False,Articulado (18m),0.71,0.596,0.8,0.672,994.656618425599
10208,34191,948A-10,METRÔ BARRA FUNDA - VL. ZATT,847364.8259229627,05:18:00,-46.70537875,-23.511091,2025-10-17 23:58:20-03:00,POINT (324606.2322849783 7399450.967835142),2025-10-17 23:58:20-03:00,191462.0,POINT (325877.4521642585 7398866.816247647),Midiônibus,False,Midiônibus,0.4,0.336,0.47,0.395,905.3245800160934
10209,34028,8009-31,TERM. PIRITUBA - CID. D'ABRIL 3ª GLEBA,580824.4108222652,04:29:00,-46.7473765,-23.456459,2025-10-16 23:59:25-03:00,POINT (321536.7488919604 7410177.494090627),2025-10-16 23:59:25-03:00,65523.0,POINT (321514.9480864084 7404865.298918165),Articulado (23m),False,Articulado (23m),0.75,0.63,0.85,0.714,1163.5365009797026
10210,34191,948A-10,METRÔ BARRA FUNDA - VL. ZATT,502529.5136001576,06:15:00,-46.7055125,-23.509899,2025-10-16 23:59:29-03:00,POINT (320681.8661482306 7401262.426303787),2025-10-16 23:59:29-03:00,60977.0,POINT (325862.22532051546 7398998.656779239),Básico,True,Básico,0.46,0.386,0.53,0.445,711.395855337791
