coordinates,timestamps
"[[323730.2736653163, 7401579.57348449], [323723.320928209, 7401571.570852276], [323763.6651873907, 7401619.016325403], [323763.6651873907, 7401619.016325403], [323763.6651873907, 7401619.016325403], [323730.2736653163, 7401579.57348449]]","[0, 44, 221, 266, 310, 354]"
"[[333197.68989078427, 7390299.542539739], [333197.68989078427, 7390299.542539739], [333197.68989078427, 7390299.542539739], [333197.68989078427, 7390299.542539739], [333197.68989078427, 7390299.542539739], [333197.68989078427, 7390299.542539739]]","[0, 45, 221, 266, 310, 354]"
"[[333290.0975527282, 7390296.776581185], [333290.0975527282, 7390296.776581185], [333290.0975527282, 7390296.776581185], [333290.0975527282, 7390296.776581185], [333290.0975527282, 7390296.776581185], [333290.0975527282, 7390296.776581185]]","[0, 44, 221, 265, 309, 354]"
"[[323735.60693332716, 7396132.587505424], [323773.71090510464, 7396072.073981454], [324135.56079354114, 7395957.969248172], [324442.9400509595, 7395932.030400705], [324607.03578720987, 7395621.495204104], [324856.84481949673, 7395567.335238922]]","[0, 44, 177, 222, 310, 355]"
"[[323763.6651873907, 7401619.016325403], [323763.6651873907, 7401619.016325403], [323763.6651873907, 7401619.016325403], [323763.6651873907, 7401619.016325403], [323763.6651873907, 7401619.016325403], [323763.6651873907, 7401619.016325403]]","[0, 45, 177, 222, 266, 311]"
"[[333197.68989078427, 7390299.542539739], [333197.68989078427, 7390299.542539739], [333197.68989078427, 7390299.542539739], [333197.68989078427, 7390299.542539739], [333197.68989078427, 7390299.542539739], [333197.68989078427, 7390299.542539739]]","[0, 44, 220, 265, 309, 353]"
"[[330307.92842850205, 7393933.451778406], [330373.487114341, 7393870.9159858385], [330876.763034472, 7393393.910571001], [331016.0233926401, 7393265.661104919], [331088.5697656548, 7393201.998789027], [331157.82477203093, 7393141.49617633]]","[0, 55, 227, 266, 338, 356]"
"[[333290.0975527282, 7390296.776581185], [333290.0975527282, 7390296.776581185], [333290.0975527282, 7390296.776581185], [333290.0975527282, 7390296.776581185], [333290.0975527282, 7390296.776581185], [333290.0975527282, 7390296.776581185]]","[0, 44, 221, 265, 309, 353]"
"[[333290.0975527282, 7390296.776581185], [333290.0975527282, 7390296.776581185], [333290.0975527282, 7390296.776581185], [333290.0975527282, 7390296.776581185], [333290.0975527282, 7390296.776581185], [333290.0975527282, 7390296.776581185]]","[0, 44, 177, 221, 310, 354]"
"[[321128.19510227925, 7397765.78963078], [321197.03227499884, 7397744.865612727], [322060.1126041326, 7397661.642412066], [322230.0949880489, 7397500.807680538], [322235.8812739678, 7397453.19636431], [322232.54984006716, 7397382.658171132]]","[0, 44, 177, 232, 309, 354]"
